relevance_score,score,published,episode_title,series,context
2,0.7,2026-01-06T11:00:00+00:00,"Dylan Patel on the AI Chip Race - NVIDIA, Intel & the US Government",AI + a16z,"OpenAI was discussed significantly in relation to their massive compute spending, $300 billion deal with Oracle, revenue projections, and their role in driving demand for AI infrastructure. Their partnership dynamics with Microsoft and Oracle were key discussion points."
2,0.65,2026-01-05T11:00:00+00:00,AI Will Save The World with Marc Andreessen and Martin Casado,a16z Podcast,"OpenAI is discussed as the creator of ChatGPT and GPT-4, which are central examples used throughout the conversation about AI capabilities and widespread adoption. The company represents the current state of accessible AI technology."
2,0.65,2026-01-02T16:58:58+00:00,Computers that Think and Take Actions for You,MLOps.community ,OpenAI was discussed as a comparison point for the speaker's voice models and as one of the major frontier labs working on LLMs. The speaker noted that OpenAI and other big labs aren't doing well with computer use models despite having good base models.
2,0.55,2025-12-31T16:00:00+00:00,Four Predictions For How AI Will Change Software in 2026,AI and I,"OpenAI is mentioned in relation to their CEO Sam Altman's predictions about AGI timelines, their recent Disney partnership for Sora, and how they serve traditional engineers incorporating AI rather than leading in agentic development like Anthropic."
4,0.9,2025-12-31T07:12:00+00:00,"[State of Post-Training] From GPT-4.1 to 5.1: RLVR, Agent & Token Efficiency — Josh McGrath, OpenAI",Latent Space: The AI Engineer Podcast,"OpenAI is the primary focus as Josh McGrath works there on post-training research and thinking models. The entire conversation revolves around OpenAI's work on GPT models, post-training techniques, shopping models, and various AI research initiatives."
4,0.85,2025-12-30T15:59:00+00:00,"[State of RL/Reasoning] IMO/IOI Gold, OpenAI o3/GPT-5, and Cursor Composer — Ashvin Nair, Cursor",Latent Space: The AI Engineer Podcast,"OpenAI was the primary focus of discussion, covering Ashvin's work there on the reasoning team, the development of the O1 series, ChatGPT's launch, internal dynamics during the leadership crisis, and the transition from robotics to language models. The conversation extensively covered OpenAI's technical approaches, organizational structure, and strategic decisions."
2,0.75,2025-12-29T16:57:00+00:00,Lowering the Cost of Intelligence With NVIDIA's Ian Buck - Ep. 284,NVIDIA AI Podcast,"OpenAI is discussed multiple times as the creator of GPT models, particularly GPT-4o which is used as a key example of MOE architecture benefits. The organization is referenced in the context of developing mixture of experts models and achieving better intelligence scores at lower computational costs."
4,0.85,2025-12-29T11:00:00+00:00,Where Does Consumer AI Stand at the End of 2025?,a16z Podcast,"OpenAI was the primary focus throughout the discussion, with extensive analysis of ChatGPT's dominance (800-900M weekly users), product launches like Sora and image models, social features, enterprise push, and strategic positioning in consumer AI. The conversation repeatedly returned to OpenAI's product decisions and market leadership."
2,0.65,2025-12-29T09:00:00+00:00,"Replay - The Biggest Misconceptions About AI Agents, Why Defensibility Doesn't Matter at Seed, and Whether the AI Center of Gravity Is Shifting to China (Aaref Hilaly)",The Full Ratchet (TFR): Venture Capital and Startup Investing Demystified,"OpenAI was discussed multiple times in the context of AI model development, particularly their recent releases like O1 and ChatGPT, image generation capabilities, and their evolution into more of a consumer application company."
3,0.75,2025-12-27T23:35:00+00:00,"One Year of MCP — with David Soria Parra and AAIF leads from OpenAI, Goose, Linux Foundation",Latent Space: The AI Engineer Podcast,"OpenAI is discussed as a major adopter of MCP and founding member of the Agentic AI Foundation. Nick Cooper represents OpenAI and discusses their protocol work, ChatGPT apps, and collaboration on MCP development."
3,0.65,2025-12-27T11:01:01+00:00,"Why Lightspeed Bet on xAI, Neuralink, Suno, Granola, & Pika | MIchael Mignano",Sourcery,"OpenAI was discussed extensively regarding their Sora launch, competitive threats to startups, dev day announcements, and their potential IPO. The conversation explored how OpenAI's speed and capabilities impact the venture investment landscape."
2,0.65,2025-12-26T22:21:00+00:00,Steve Yegge's Vibe Coding Manifesto: Why Claude Code Isn't It & What Comes After the IDE,Latent Space: The AI Engineer Podcast,"OpenAI was discussed as having internal performance data showing 10x productivity differences between AI-adopting and non-adopting developers, and was noted as being internally chaotic due to exits and rapid growth. The company was compared to other AI labs in terms of execution challenges."
4,0.9,2025-12-26T22:18:00+00:00,"__GPT5-Codex-Max: Training Agents with Personality, Tools & Trust — Brian Fioca + Bill Chen, OpenAI",Latent Space: The AI Engineer Podcast,"OpenAI is the primary focus of the entire conversation, with speakers Bill and Brian representing the company and discussing their work on GPT-5, Codex, and coding agents. The discussion covers OpenAI's model training, product development, partnerships, and internal usage patterns extensively."
